,park_name,scientific_name,common_names,category,observations,genus,conservation_status
0,Bryce National Park,Abies bifolia,Rocky Mountain Alpine Fir,Vascular Plant,109,Abies,
1,Bryce National Park,Abies concolor,Balsam Fir,Vascular Plant,83,Abies,
2,Bryce National Park,Abies fraseri,Fraser Fir,Vascular Plant,109,Abies,
3,Bryce National Park,Abietinella abietina,Abietinella Moss,Nonvascular Plant,101,Abietinella,
4,Bryce National Park,Abronia ammophila,Wyoming Sand Verbena,Vascular Plant,92,Abronia,
5,Bryce National Park,Abutilon theophrasti,Velvetleaf,Vascular Plant,84,Abutilon,
6,Bryce National Park,Acalypha gracilens,Narrow-Leaved Three-Seeded Mercury,Vascular Plant,68,Acalypha,
7,Bryce National Park,Acalypha ostryifolia,Hornbeam Copper-Leaf,Vascular Plant,95,Acalypha,Species of Concern
8,Bryce National Park,Acalypha rhomboidea,Common Threeseed Mercury,Vascular Plant,90,Acalypha,Endangered
9,Bryce National Park,Acalypha virginica,Virginia Copperleaf,Vascular Plant,108,Acalypha,Endangered
10,Bryce National Park,Acanthus flammea,Common Redpoll,Bird,95,Acanthus,
11,Bryce National Park,Accipiter cooperii,Cooper's Hawk,Bird,95,Accipiter,
12,Bryce National Park,Accipiter gentilis,Northern Goshawk,Bird,109,Accipiter,
13,Bryce National Park,Accipiter striatus,Sharp-Shinned Hawk,Bird,62,Accipiter,
14,Bryce National Park,Acer glabrum,Rocky Mountain Maple,Vascular Plant,30,Acer,
15,Bryce National Park,Acer glabrum var. torreyi,Torrey's Maple,Vascular Plant,84,Acer,
16,Bryce National Park,Acer leucoderme,Chalk Maple,Vascular Plant,125,Acer,
17,Bryce National Park,Acer macrophyllum,Bigleaf Maple,Vascular Plant,105,Acer,
18,Bryce National Park,Acer negundo,Boxelder,Vascular Plant,92,Acer,
19,Bryce National Park,Acer negundo var. violaceum,Boxelder,Vascular Plant,91,Acer,
20,Bryce National Park,Acer nigrum,Black Maple,Vascular Plant,110,Acer,
21,Bryce National Park,Acer pensylvanicum,Striped Maple,Vascular Plant,91,Acer,
22,Bryce National Park,Acer platanoides,Norway Maple,Vascular Plant,83,Acer,
23,Bryce National Park,Acer rubrum var. rubrum,Red Maple,Vascular Plant,114,Acer,
